id,product_id,size,price,description,description_icon_alts,colors
1242.0,20158.0,Age 11-12,£12.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1243.0,20159.0,,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1244.0,20159.0,Age 3-4,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1245.0,20159.0,Age 4-5,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1246.0,20159.0,Age 5-6,£12.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1247.0,20159.0,Age 6-7,£12.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1248.0,20159.0,Age 7-8,£12.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1249.0,20159.0,Age 8-9,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1250.0,20159.0,Age 9-10,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1251.0,20159.0,Age 11-12,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
1252.0,20160.0,,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1253.0,20160.0,Age 3-4,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1254.0,20160.0,Age 5-6,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1255.0,20160.0,Age 6-7,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1256.0,20160.0,Age 7-8,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1257.0,20160.0,Age 8-9,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1258.0,20160.0,Age 9-10,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1259.0,20160.0,Age 10-11,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
1260.0,20160.0,Age 12-13,£14.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Ayr Gingham Summer Dress offers a classic style perfect for those warmer months. Designed with durability and comfort in mind, the Ayr easily lasts the rigours of both classroom and playground activities.
button front corded gingham dress
contrast white trim on sleeves and pockets
tie belt at back
pointed revere collar
taped neck seam
Fabric & care
65% recycled polyester
35% cotton
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon', 'Sustainable Cotton Icon']",['Red/White']
